link,nama,keterangan,waktu,text
https://lh3.googleusercontent.com/a/ACg8ocIA0h7D5FN4XjWDxD8T3-R_zIXi1fW5clUTLkwXe8tOOxHUIBQ=w36-h36-p-rp-mo-ba3-br100,Al Adsyabil,Local Guide · 43 reviews · 26 photos,a week ago,
https://lh3.googleusercontent.com/a-/ALV-UjWt7sYFpiNL-RCtQ80RaxiG248dWcFdjkpEhXPa-0_suUM6vyHT=w36-h36-p-rp-mo-ba4-br100,Achmad Aj,Local Guide · 94 reviews · 69 photos,a week ago,"Mudah dijangkau, parkiran luas, ruang tunggu sangat nyaman"
https://lh3.googleusercontent.com/a-/ALV-UjVQz_Crhg4iw_FQ22tXYDCsIcQZ_3BbbuPyN1Z-GMNPllUQO2jYkQ=w36-h36-p-rp-mo-ba4-br100,riyan hw,Local Guide · 55 reviews · 163 photos,a week ago,Pelayanan Lion Group terutama kasirnya lelet bgt... 1 kasir kewalahan temennya acuh gk ada yg bantu... servicenya harus di tingkatkan lagi
https://lh3.googleusercontent.com/a/ACg8ocKEaEkfDI-Y-pzj_LuBEYqvBHPQ6KXbefsJ4Vu61RufjNJvSA=w36-h36-p-rp-mo-ba6-br100,Made Sudibya,"Local Guide · 224 reviews · 1,540 photos",a week ago,Checkin di bandar udara sultan aji muhamad sulaiman balik papan
https://lh3.googleusercontent.com/a-/ALV-UjWhj4IERfqEe60V1YU6iNkAIHatIf1-89EgPxGAMyBmaySTDp8v4g=w36-h36-p-rp-mo-ba5-br100,Supriyanto Saruni,Local Guide · 324 reviews · 387 photos,a week ago,"Fasilitas lumayan lengkap, dan bersih"
https://lh3.googleusercontent.com/a-/ALV-UjVgGIWr3WRHS_otupWDaUIycSyKm6rKCABMXmz-z8-I811BYaU=w36-h36-p-rp-mo-br100,Fitriani Dj,2 reviews · 10 photos,a week ago,"Bandaranya bersih, nyaman dan transportasi daratnya jg mudah di dapatkan"
https://lh3.googleusercontent.com/a-/ALV-UjXGRjhkZwyFPJ1kqln2YQkdRHp5c5m-jymyZROy3w8TcZ9SR28i=w36-h36-p-rp-mo-ba5-br100,Asep Awaludin,Local Guide · 58 reviews · 170 photos,a week ago,"Tolong kasih pembatas troli minimal 1 meter dr konveyor biar memudahkan orang utk ambil barang, kalo troli nempel semua gitu yg di belakang kesulitan mau ambil"
https://lh3.googleusercontent.com/a-/ALV-UjWQFUATLb8-x0HP7nftYh3izO1-UmzlLeQH89FfHpzJ0Nm5nwH2=w36-h36-p-rp-mo-br100,Tunggul Wachidin,9 reviews · 10 photos,a week ago,
https://lh3.googleusercontent.com/a-/ALV-UjW7tcyp3IMimjnY_NfpNxIvgUqcvNQq-OFzi9O_6oXL7vWpY_fxhw=w36-h36-p-rp-mo-br100,asgun asgun,2 reviews · 5 photos,a week ago,
https://lh3.googleusercontent.com/a-/ALV-UjU5N6plsHffexW2fd3DYK6ls_JwoQoymADLKKJsuOgncBc_dXRO=w36-h36-p-rp-mo-br100,Ari Syah,1 review,a week ago,
https://lh3.googleusercontent.com/a/ACg8ocLmvbt_Kia7veU2o-wWihyoYL0OWbFp-xTjVitX3KPIY8m5=w36-h36-p-rp-mo-br100,Sofia Qottrun Nada,6 reviews · 3 photos,a week ago,
https://lh3.googleusercontent.com/a-/ALV-UjWFHRPgduy4ySO5_ok7LXr_9iLap9GOwERDfv7yINNL1ptBI51w=w36-h36-p-rp-mo-ba3-br100,Fahmi,Local Guide · 14 reviews · 50 photos,a week ago,
https://lh3.googleusercontent.com/a-/ALV-UjUzOhcpJzwffaU-H1kIT2V-DODZ3XO7U2Vq123BaqHvR5EDC4wCCg=w36-h36-p-rp-mo-ba4-br100,Aryo Bimo Bayuaji,Local Guide · 54 reviews · 140 photos,a week ago,"Keberangkatan lancar dan terminalnya bagus. Tidak ada penerbangan internasional, tetapi area domestik cukup bagus. Tempat duduknya nyaman dan luas. Banyak kedai kopi dan makanan di dalam terminal. Tempatnya mudah diakses dan kamar mandinya bersih."
https://lh3.googleusercontent.com/a-/ALV-UjWJ9WhXTaIcn8EUGk8FpOEJyNY6QPwKFsW0JEniqgxWRPLY-lkM=w36-h36-p-rp-mo-br100,Lukman Nulhakim,4 reviews · 20 photos,a week ago,
https://lh3.googleusercontent.com/a-/ALV-UjWEwFJ0zoRfNFL20qVPMpgLLTYAzgZ2XPcvwOBjrdup7cuYzAg=w36-h36-p-rp-mo-ba5-br100,JP Setyo,Local Guide · 184 reviews · 318 photos,a week ago,"Luas, megah, keren abisss
Ada playground yang buat tambah betah"
https://lh3.googleusercontent.com/a-/ALV-UjVoFm4I0csHmmyyvpMKlMDZG0pJOhG5FTCJXKnhErJ5Fxf14MBY=w36-h36-p-rp-mo-ba4-br100,STORY PELAUT,Local Guide · 67 reviews · 67 photos,a week ago,"Salah satu bandara yang Mantaplah di kelasnya...  Tempat buat perokok ada,.. lumayan besar,, KLO ada yang mau masuk wajib ada kartu buat kluar.. Krn tidak ada pembayaran cash dsni... Parkiran luas dan aman.."
https://lh3.googleusercontent.com/a/ACg8ocLqx11rP_0pNdBoMhbad3wio2EspB2QEryA37cUPBkdW0r5Og=w36-h36-p-rp-mo-ba2-br100,Vincentius Sutanto,Local Guide · 5 reviews · 3 photos,a week ago,Kebetulan pesawat delay 1 jam sehingga saya jalan2 sepanjang koridor dari gate 1 sampai gate bolak balik. Selama itu saya sangat terganggu dengan mobil buggy blue sky yg bolak balik jemput dan antar customer sambil sebentar2 klakson minta jalan. Waktu itu kebetulan ramai penumpang. Yg mengkhawatirkan saya kecepatan mobil buggy ini cukup tinggi sehingga rawan kecelakaan terutama utk anak2 yg lagi bermain. Mohon diperhatikan kecepatan maksimum kendaraan ini utk keamanan anak2. Terima kasih
https://lh3.googleusercontent.com/a-/ALV-UjWhnwITREOJYP4Jmu2qBg-S8EbrFC1JZPYondSTQeV-lE9NuQzu=w36-h36-p-rp-mo-ba3-br100,Din din Diansyah,Local Guide · 76 reviews · 65 photos,a week ago,Bandara ini nyaman dan tertib
https://lh3.googleusercontent.com/a-/ALV-UjVQ8X0KUYZisvpWC4oyVvqR6-gt39ZtqDQYgO-Gkm0a2JLwcF4H=w36-h36-p-rp-mo-ba2-br100,Ishak Suriansyah,Local Guide · 8 reviews,a week ago,
https://lh3.googleusercontent.com/a-/ALV-UjUW7HxMDTW4X_46DC6wnYmQApjHsA-zzcxVH9O0sjTn9AjpHycMSA=w36-h36-p-rp-mo-ba6-br100,Datu Lombok Tour,"Local Guide · 151 reviews · 3,291 photos",a week ago,Kereen
https://lh3.googleusercontent.com/a-/ALV-UjWbHQwSwLYP5ofN9gWlK-v4frYDKs6YgJig9icyYYO08L2P4YfluQ=w36-h36-p-rp-mo-ba5-br100,Fraisya Fra,Local Guide · 58 reviews · 592 photos,a week ago,"- GEDUNG PARKIR

Ada satu masalah yang cukup mengganggu, yaitu area parkir dan penjemputan. Sejak beberapa bulan terakhir, jalur yang biasanya bisa dilewati mobil untuk menjemput penumpang kini dialihkan, dan pengaturan ini mengakibatkan semua kendaraan yang menjemput atau parkir harus masuk lewat jalur yang sama. Akibatnya, antrean panjang dan kemacetan sering terjadi, terutama pada jam sibuk, yang bisa sangat menyulitkan bagi pengunjung yang terburu-buru.

Secara keseluruhan, meskipun bandara ini memiliki fasilitas yang bagus, pengaturan parkir dan penjemputan perlu segera diperbaiki agar pengalaman di Bandara SAMS Sepinggan Balikpapan semakin nyaman dan lancar bagi semua pengunjung."
https://lh3.googleusercontent.com/a-/ALV-UjVDltSdLIWIbvvyZJiaczgBsA7WWO0jhTlEDcc4S1yY4FGXVKA=w36-h36-p-rp-mo-br100,Rahmad Widodo,2 reviews,a week ago,
https://lh3.googleusercontent.com/a-/ALV-UjW1_MZyhk_-s-_rZ_UqcsmIn4_FidYnw3b-qUxvUunDN0VNoizA=w36-h36-p-rp-mo-ba3-br100,Deasy Christiani,Local Guide · 6 reviews · 1 photo,a week ago,Sangat nyaman
https://lh3.googleusercontent.com/a-/ALV-UjWmLadb1p_I7c1wp2wLvZexCxK2C9erVyd90khqne4McOb5QGQX=w36-h36-p-rp-mo-br100,Andra Marianatha,,a week ago,
https://lh3.googleusercontent.com/a-/ALV-UjV44w3PKxspHAifMAtF-Hi_eZ5f6RSBXAlL4BPyn6B-ZyWKsAXp=w36-h36-p-rp-mo-ba4-br100,Muhammad Sahron,Local Guide · 28 reviews · 184 photos,a week ago,
https://lh3.googleusercontent.com/a-/ALV-UjXZZaxBXTaB8GFxtVB2kIt3TuwFtHgrycC7A27yz6_96K-jp7Y=w36-h36-p-rp-mo-br100,Jauzaa Munly Argha,1 review,2 weeks ago,"Tolong Petugas nya di cek dan di perbaiki attitude nya terhadap customer, ketika customer tidak tahu peraturannya seharusnya di beri tahu secara baik baik bukanya malah di maki maki di depan banyak orang. Sampai mengeluarkan kata kata ""Gak pernah naik pesawat ya? pantas ga tau peraturan"" Tolong diberi arahan, Karyawan wanita pengecekan boarding pass saat di pintu boarding (IU-601, Bpp-Jkt, 06.00,5/11/24)."
https://lh3.googleusercontent.com/a-/ALV-UjU7rX7Ed38_iRrGQGyr7Fs78LCO807-Edn3I_tAOJGvhkbi7lws=w36-h36-p-rp-mo-br100,Fredi Mishall,2 reviews · 1 photo,2 weeks ago,Pelayanan sangat tidak ramah
https://lh3.googleusercontent.com/a-/ALV-UjU2Wh7PYsFAAGEdx0nNAH70MGwkeO06v8SCjrBkXSIoSVTVeHlw=w36-h36-p-rp-mo-ba3-br100,Kristina Natalia Ningsih,Local Guide · 22 reviews · 105 photos,2 weeks ago,
https://lh3.googleusercontent.com/a-/ALV-UjUItQC2PTJgYQoXAGiVmpDEFdH8OxT4uGZEVDJajGYd_XyIc91e=w36-h36-p-rp-mo-ba5-br100,Edy,Local Guide · 91 reviews · 154 photos,2 weeks ago,
https://lh3.googleusercontent.com/a-/ALV-UjXIQyuzNsfKYcB-ORbDpIztDj9p8r3xjNFWN1BNOaX2tPzLcB6s=w36-h36-p-rp-mo-ba5-br100,DIBRITAU CHANNEL,Local Guide · 203 reviews · 560 photos,2 weeks ago,Mantap sudah
https://lh3.googleusercontent.com/a-/ALV-UjXNsWaYGAqCQDzutsDNSrpPMyG_kB7kmaLvnrUoUZggPHNBjCVM=w36-h36-p-rp-mo-br100,Indah Habsari76,,2 weeks ago,
https://lh3.googleusercontent.com/a-/ALV-UjWvG7Nd4i2aVsUXe7gKcDlXL-HkziKxnp8lwChxUg_tiflcwOk=w36-h36-p-rp-mo-ba2-br100,muhammad yuda Maulidani,Local Guide,2 weeks ago,
https://lh3.googleusercontent.com/a-/ALV-UjXwSuTUV6MHKPKnRp_6TzJAneLgXWjfkrCGhbOLmvIfqjZEc3c=w36-h36-p-rp-mo-ba3-br100,Abdul Samad,Local Guide · 5 reviews · 9 photos,2 weeks ago,
https://lh3.googleusercontent.com/a-/ALV-UjVoT9xiyvEiZXtKIE1xeoSbvrZTvnqMo24XleteUsVmI1uFTiFGLQ=w36-h36-p-rp-mo-br100,Rony Budyanto,1 photo,2 weeks ago,
https://lh3.googleusercontent.com/a-/ALV-UjVwNccz6WrkXO-0bqvAX6U2UnFgc1arKAibtvWrnGvzveedRQLN=w36-h36-p-rp-mo-br100,hereld ann el calosa,1 review · 3 photos,2 weeks ago,
https://lh3.googleusercontent.com/a/ACg8ocJkhYmFGMuT5pdf6fJjoiS2Kjra5rX9UERYzE6F3jVB1PHAvA=w36-h36-p-rp-mo-ba5-br100,Asih Kurniasari,Local Guide · 153 reviews · 603 photos,2 weeks ago,"Bersih, nyaman, cuma agak hangat saat ini suhunya"
https://lh3.googleusercontent.com/a/ACg8ocJEF-2veOld7UPM6Gr5OIkt1uhFsr-anFI3K5fZqjyRI79Fn_VB=w36-h36-p-rp-mo-ba2-br100,winda wulandari,Local Guide · 16 reviews · 9 photos,2 weeks ago,"Bandara terbaik sih
Playground ada
Check in mudah
Waktu nunggu juga gak boşan"
https://lh3.googleusercontent.com/a/ACg8ocJP6cedTPvcWhvM_v6L3yhsoo1PYYEbHocrp-1JGFM866S4dQ=w36-h36-p-rp-mo-br100,Vianetha Tutuala,2 reviews · 6 photos,2 weeks ago,
https://lh3.googleusercontent.com/a-/ALV-UjUtpe5z081EGdRhMBkwUHccevZoEOOXk3FLUrU8-KHpCRCVMIk=w36-h36-p-rp-mo-ba2-br100,Jerry Anderson Tang,Local Guide · 4 reviews · 26 photos,2 weeks ago,
https://lh3.googleusercontent.com/a/ACg8ocLEJW5Sjj3h0hJZng-5SQCXsH0qFZvHtxGgxXFQBjNXpmDLpw=w36-h36-p-rp-mo-ba5-br100,Aji Cipta,Local Guide · 275 reviews · 272 photos,2 weeks ago,"Pertama kali berkunjung ke Balikpapan, bangunan bandaranya keren, fasilitas lengkap, dan modern."
https://lh3.googleusercontent.com/a-/ALV-UjX0Pk2e5IHPSt5l0IOYVMTyZ9LksdXEoEO71GEFvKgawvuNy5HU=w36-h36-p-rp-mo-br100,Amrin Pawiruddin,2 reviews,2 weeks ago,
https://lh3.googleusercontent.com/a/ACg8ocLOIZFJXozFWE0UOFJxcKu9JynWFTju7oXG8ESpDjp3N8CDgQ=w36-h36-p-rp-mo-br100,tum gila,1 review,2 weeks ago,
https://lh3.googleusercontent.com/a-/ALV-UjUQOdTMIA2ZHht52HItSiPBNUyKwwPItg9YEY140JxR_cEjoRs=w36-h36-p-rp-mo-ba3-br100,NUR ROZIQIN,Local Guide · 29 reviews · 17 photos,2 weeks ago,
https://lh3.googleusercontent.com/a-/ALV-UjW3hLADNrUd431gjvoSbhzYvwf4pB0w1nhpkIqk4FilPwBss0A=w36-h36-p-rp-mo-ba4-br100,William Gunawan,Local Guide · 67 reviews · 103 photos,2 weeks ago,"Bandara bersih, tapi begitu keluar mungkin butuh ditingkatkan kebersihan dan keamanannya, menuju area parkiran banyak orang ngumpul di jalan masuk parkiran, dan merokok area tersebut"
https://lh3.googleusercontent.com/a-/ALV-UjXSdVMcfCCJQ6kGyflAVv2RGjcevfBkD3ViI2Qn2RUGahBL2z7h=w36-h36-p-rp-mo-ba5-br100,Irvin Dayadi,Local Guide · 108 reviews · 138 photos,2 weeks ago,Bandaranya cenderung lebih sepi saat ini sejak adanya bandara APT. Pranoto di Samarinda. Tp saya lbh memilih berangkat dr bandara ini drpd bandara samarinda krn susah kalau pas banjir atau macet.
https://lh3.googleusercontent.com/a-/ALV-UjUbhDa-cfKVoGhXBnylCdwe2jUvzqih2PfbdEDp8be9g9YYMHYX=w36-h36-p-rp-mo-ba4-br100,Wix Wiex,Local Guide · 23 reviews · 417 photos,2 weeks ago,
https://lh3.googleusercontent.com/a-/ALV-UjVBNkUBIhZKdJtxplicUwhu-T1dPDsAEmbriRRO2gchccpe40P5=w36-h36-p-rp-mo-br100,Junius Zalukhu,,2 weeks ago,
https://lh3.googleusercontent.com/a-/ALV-UjUhQ__2Fg6dtgDBnmfDJOAGAH5WUpXmFLtRLOKCbpnfWszqsW8K=w36-h36-p-rp-mo-ba3-br100,Henry Gunawan Ardy,Local Guide · 39 reviews · 9 photos,2 weeks ago,"Bagus bandaranya, terus jagan dan tingkatkan kebersihan dan kenyamanannya"
https://lh3.googleusercontent.com/a-/ALV-UjWt5W9i1YIxzQgwldb8KfBJ08Nv9CR1y4dYosvyK1xDz-JSNPs5=w36-h36-p-rp-mo-ba4-br100,Ujang Uron,Local Guide · 16 reviews · 4 photos,2 weeks ago,
https://lh3.googleusercontent.com/a-/ALV-UjUtM0GL1DUI-gmT7fdplO1LnU79t2kN2GM-Mv8CQ2PFtVExiYBm=w36-h36-p-rp-mo-ba4-br100,Sariyadi Sariyadi,Local Guide · 172 reviews · 65 photos,2 weeks ago,"Fasilitas:
* Modern dan Lengkap:  Sepinggan  menawarkan fasilitas modern dan lengkap, termasuk  berbagai pilihan tempat makan dan belanja, lounge,  ruang tunggu yang nyaman, dan akses Wi-Fi gratis.
* Ramah Lingkungan: Bandara ini  menerapkan beberapa  praktik ramah lingkungan,  seperti penggunaan  panel surya dan sistem pengolahan air limbah.
* Transportasi: Tersedia  berbagai pilihan transportasi  dari dan menuju bandara, termasuk taksi,  angkutan kota,  dan  mobil sewaan.
Kelebihan:
* Desain  Arsitektur  yang Menarik:  Bandara ini  memiliki desain arsitektur  yang modern dan  menarik,  mencerminkan  kebudayaan lokal.
* Kebersihan:  Secara umum,  bandara ini  terjaga  kebersihannya.
* Proses  Check-in  yang Efisien:  Proses check-in  biasanya  berjalan lancar  dan  efisien.
Kekurangan:
* Keterbatasan  Transportasi  Publik:  Meskipun  tersedia  beberapa pilihan  transportasi,  akses  transportasi publik  masih  terbatas.
* Harga  Makanan  Relatif  Mahal:  Harga  makanan  dan  minuman  di  bandara  cenderung  lebih  mahal  dibandingkan  dengan  harga  di  luar  bandara.
Saran Tambahan:
* Periksa  Jadwal  Penerbangan:  Pastikan  Anda  memeriksa  jadwal  penerbangan  Anda  sebelum  tiba di  bandara.
* Datang  Lebih  Awal:  Disarankan  untuk  datang  lebih  awal,  terutama  pada  jam  sibuk,  untuk  menghindari  antrian  panjang  saat  check-in  dan  keamanan."
https://lh3.googleusercontent.com/a-/ALV-UjX_OS_r5VZapWAMw0elhyuT5DL6v-iHMqAhrxad4W0-bSL5lLAN=w36-h36-p-rp-mo-ba4-br100,Effry Guccy,Local Guide · 157 reviews · 9 photos,3 weeks ago,Good place
https://lh3.googleusercontent.com/a-/ALV-UjXDfZQbHpAm0ZjGj55JpJrWj8nlruZHEkfJ3qLQ_QfosWyw9Woa=w36-h36-p-rp-mo-br100,Gilang Akbar,1 review,3 weeks ago,
https://lh3.googleusercontent.com/a-/ALV-UjXF20dgIqH4XWsRC002slTuH7gZdtwvv4XQcdcgu4y2G3xxKoE=w36-h36-p-rp-mo-br100,Anvan Hauten,3 reviews · 1 photo,3 weeks ago,
https://lh3.googleusercontent.com/a/ACg8ocJf4Y632Xd9Nxb6P5vyg6SPW6DjBl178-cW98nvtyL81VlNVw=w36-h36-p-rp-mo-ba5-br100,Adisurya Tjahjana Putra,Local Guide · 65 reviews,3 weeks ago,
https://lh3.googleusercontent.com/a/ACg8ocKZSF32O0uYXVUl662Bz1GTKFsOnM5w2eTIPBgH9e-8iWshKw=w36-h36-p-rp-mo-ba4-br100,Prasetyo Wibowo Prasetyo110985,Local Guide · 80 reviews · 42 photos,3 weeks ago,Sangat bersih dan rapi
https://lh3.googleusercontent.com/a-/ALV-UjWNnm6QE-dQH66JhcO8jLGEfS-5gJebNAI_aM0tgiHdDuetTatq=w36-h36-p-rp-mo-br100,Esta Adhini,4 reviews · 1 photo,3 weeks ago,Banyak esklator yang sudah rusak
https://lh3.googleusercontent.com/a-/ALV-UjVCVEWA7tR_A1gGoItYJywsQY2TmQhqYVnkukvc0AwECbSeJ-Cvtg=w36-h36-p-rp-mo-br100,Boedhi Chaul,11 reviews,3 weeks ago,Tempat nya enak dan saya rasa menjadi kenangan
https://lh3.googleusercontent.com/a-/ALV-UjWBN9QZYGJnS35bDYU2bs9b9PAJHjh5ouhO5upk6-16M8pY0sq7=w36-h36-p-rp-mo-ba5-br100,Andi Winatasasmita,Local Guide · 220 reviews · 321 photos,3 weeks ago,Good
https://lh3.googleusercontent.com/a-/ALV-UjV3zxkAmzMKLIv-yCSUpc5xBWakz1tyXn7MTpz7u8kwHuDEYRHI=w36-h36-p-rp-mo-br100,igsan prayoga,4 reviews,3 weeks ago,
https://lh3.googleusercontent.com/a-/ALV-UjU5MzuomTjQ_S-scqieh5Bj8dlsWnBmh3iFQq5oyqhdtxqt7hiX=w36-h36-p-rp-mo-br100,Sarah Paramita,4 reviews · 7 photos,3 weeks ago,
https://lh3.googleusercontent.com/a-/ALV-UjV8Nm7uag_FZa37c_4M2GW6v9c0tKprxTzG65dAWgSH4surEUE=w36-h36-p-rp-mo-ba5-br100,Codename Gamma,Local Guide · 478 reviews · 21 photos,3 weeks ago,Lapang dan bersih
https://lh3.googleusercontent.com/a-/ALV-UjVH8z8d6N9MzcR9wdFHrTnR1Vgs_-Ia1S2jj_Y5mRQPFKOImhHi=w36-h36-p-rp-mo-ba3-br100,WAWASAN HARIY LAROS,Local Guide · 34 reviews · 39 photos,3 weeks ago,Rumitnya penjemputan di arahkan ke parkiran sedangkan tempat  penjemputan yg sebenarnya hanya untuk orang2 penting..apa bedanya kita sama2 bayar parkir
https://lh3.googleusercontent.com/a-/ALV-UjUdZAXjUFmdZQCh6Tl86xmrje5KGLoqmObTBgvAwmWbpszhJPPU=w36-h36-p-rp-mo-ba7-br100,M Reza P Rusyandi,"Local Guide · 991 reviews · 9,031 photos",3 weeks ago,"Bandara Sultan Aji Muhammad Sulaiman Sepinggan di Balikpapan adalah bandara modern dengan desain arsitektur menarik, fasilitas lengkap, dan layanan yang nyaman, termasuk area makanan, belanja, dan lounge yang bersih."
https://lh3.googleusercontent.com/a-/ALV-UjXj7JJJV1ZijlvMCfJLZCqVD9w2m6CmYAr-tG1F7yB28BiuC9s=w36-h36-p-rp-mo-ba3-br100,Faiz Luqman,Local Guide · 20 reviews · 45 photos,3 weeks ago,
https://lh3.googleusercontent.com/a-/ALV-UjUXlxy2k5WZ6CE78Mv4HMXiCbwPI1caPTsP7vwuOM6UBTG9VdM=w36-h36-p-rp-mo-ba4-br100,Irfan Hidayat,Local Guide · 66 reviews · 54 photos,3 weeks ago,Bandara terbesar di Kaltim dengan berbagai maskapai penerbangan
https://lh3.googleusercontent.com/a/ACg8ocIFvZ-wwP8zydMgJcTPmHjdMYxNUZw9VFWvHntl8qDRcFrLuA=w36-h36-p-rp-mo-br100,Arif Lodoyo,,3 weeks ago,
https://lh3.googleusercontent.com/a-/ALV-UjUYTMsrcmafSe9ngTZBy1IO_nK6apU43kKc0Pn7CN6CFUuoVLQR=w36-h36-p-rp-mo-ba2-br100,Freda 07,Local Guide · 22 photos,3 weeks ago,
https://lh3.googleusercontent.com/a-/ALV-UjW19BMMvJO2x1fbUHf55UiiQbY4rqoo7_gfdaIh41KrJL7HBK5hAg=w36-h36-p-rp-mo-ba4-br100,Tiram Marley Ar,Local Guide · 45 reviews · 48 photos,3 weeks ago,
https://lh3.googleusercontent.com/a-/ALV-UjXKNsZocfanQt1NErqp_xtkCf3SFHqafgbbhkGFv5vfNl8gx9U=w36-h36-p-rp-mo-br100,Dani Akbar,1 review,3 weeks ago,
https://lh3.googleusercontent.com/a-/ALV-UjXjfpwj2xujoIIfEIxUWvnJ2TRx9v_USfqgjtsFO7i6oi2i-Hc=w36-h36-p-rp-mo-br100,Sapdan Husain,1 photo,3 weeks ago,
https://lh3.googleusercontent.com/a-/ALV-UjUdFr6mdsZuoG2MjXmruZmglwtMimiv-tbD_Tlyp16P0zDCnBg=w36-h36-p-rp-mo-br100,Abdul Muin,6 reviews · 3 photos,3 weeks ago,Keren
https://lh3.googleusercontent.com/a/ACg8ocIf8IIwrEQTbllNa5hXgonHfQa2kt6ZZ2auQNMwZfszAOQrAQ=w36-h36-p-rp-mo-ba2-br100,Indah Wulandari,Local Guide · 21 reviews · 10 photos,3 weeks ago,Bandara transit dari berbagai kota
https://lh3.googleusercontent.com/a-/ALV-UjVaLEEuEOupMFJ8pVBM74aBvCylQ6A6n73MNdB7VsKKNjO-CZc=w36-h36-p-rp-mo-br100,yasmin kelana,,3 weeks ago,
https://lh3.googleusercontent.com/a-/ALV-UjXPg4zina2TeSgPLTfLh1gG36M33VIhH1SX0JYnRIngsWWOAksfPg=w36-h36-p-rp-mo-ba3-br100,dian rahmawati,Local Guide · 53 reviews · 18 photos,3 weeks ago,
